Column1;ID;NUMERO;NOMBRE;DIRECCION;BARRIO;COMUNA;EMPLAZAMIENTO;ANCLAJES;Lat;Lon
141;174;174;MINISTERIO DE EDUCACION;Alvear, Marcelo T. De & Rodriguez Peña;RECOLETA;COMUNA 2;PLAZOLETA;20;-34,5972;-58,3918
34;38;38;PLAZA LIBERTAD;990 Cerrito & Alvear, Marcelo T. De;RETIRO;COMUNA 1;VEREDA;20;-34,5971;-58,3827
134;165;165;PLAZA MONSEÑOR MIGUEL DE ANDREA;Anchorena, Tomas Manuel De, Dr. & Cabrera, Jose A.;RECOLETA;COMUNA 2;VEREDA;12;-34,597;-58,4076
308;493;208;NICASIO OROÑO;Nicasio Oroño 2598;PATERNAL;COMUNA 15;VEREDA;8;-34,5964;-58,4594
76;99;99;MALABIA;780 Malabia & Loyola;VILLA CRESPO;COMUNA 15;CALZADA;20;-34,5963;-58,4357
31;35;35;INGENIERO BUTTY;291 Butty, E., Ing. & Alem, Leandro N. Av.;RETIRO;COMUNA 1;PLAZOLETA;20;-34,5962;-58,3718
54;69;69;ECUADOR;1226 Ecuador & Mansilla, Lucio Norberto, General;RECOLETA;COMUNA 2;PLAZOLETA;16;-34,5958;-58,4046
91;114;114;DELLA PAOLERA;297 Della Paolera, Carlos M. & Alem, Leandro N. Av.;RETIRO;COMUNA 1;PLAZOLETA;32;-34,5949;-58,3724
52;66;66;BILLINGHURST;3508 Carcova, De La & Soler;RECOLETA;COMUNA 2;CALZADA;20;-34,5947;-58,4139
64;85;85;AGUERO;Aguero & Mansilla, Lucio Norberto, General;RECOLETA;COMUNA 2;CALZADA;20;-34,5945;-58,4089
292;471;173;EL LIBERTADOR;Avenida San Martin 6220 y Nueva York;VILLA DEVOTO ;COMUNA 11;VEREDA;12;-34,5944;-58,5032
18;22;22;ARENALES;Cerrito & Arenales;RETIRO;COMUNA 1;PLAZOLETA;20;-34,5943;-58,3828
50;64;64;RIOBAMBA;1264 Riobamba & Juncal;RECOLETA;COMUNA 2;CALZADA;20;-34,594;-58,3945
291;469;62;PARQUE ONEGA;Avenida General Mosconi 3780 y Joaquin V. Gonzalez;VILLA DEVOTO ;COMUNA 11;VEREDA;12;-34,5932;-58,5138
77;329;100;PLAZA GURRUCHAGA;1078 Gurruchaga;VILLA CRESPO;COMUNA 15;CALZADA;20;-34,5931;-58,4351
